MCC Medicine Reg. No.	Applicants MCC Licence No	Applicant Name	Nappi Code	ATC 4	Medicine Schedule	Medicine Proprietary Name	Active Ingredients	Strength	Pack Size	Quantity	Manufacturer Price	Logistics Fee	VAT	SEP	Unit Price	Effective Date	Originator or Generic
27710522	0000000125	Abbott Laboratories SA Pty Ltd	810207001	G04CA	S4	Hytrin 	Terazosin	10 mg TAB	28	1	670.65	77.14	112.17	859.96	30.71	2018-04-01	Originator
2820110264	0000000125	Abbott Laboratories SA Pty Ltd	813826004	J01FA	S4	Klacid i v	Clarithromycin	500 mg INJ	10	1	205.76	14.18	32.99	252.93	25.29		Originator
281110645	0000000125	Abbott Laboratories SA Pty Ltd	822434008	A09AA	S1	Creon 25000	Pancreatin	300 mg CAP	100	1	1498.31	92.76	238.66	1829.73	18.3	2018-04-01	Originator
281110645	0000000125	Abbott Laboratories SA Pty Ltd	822434009	A09AA	S1	creon 25000	Pancreatin	300 mg CAP	20	1	299.69	18.55	47.74	365.98	18.3	2018-04-01	Originator
Q2011248	0000000125	Abbott Laboratories SA Pty Ltd	828769001	D10AF	S4	Eryderm Top Soln 60ml 	Erythromycin	1200 mg/60ml LOT	60	1	99.06	12.35	16.71	128.12	2.14		Originator
2820110035	0000000125	Abbott Laboratories SA Pty Ltd	830046003	J01FA	S4	Klacid P125 	Clarithromycin	125 mg/5ml SUS	50	1	107.83	10.25	17.71	135.8	2.72	2018-04-01	Originator
2920110190	0000000125	Abbott Laboratories SA Pty Ltd	830054006	J01FA	S4	Klacid P250 	Clarithromycin	250 mg/5ml SUS	50	1	186.73	17.75	30.67	235.16	4.7		Originator
317130631	0000000125	Abbott Laboratories SA Pty Ltd	836680006	C09BB	S3	Tarka	Verapamil Hcl	180 mg SRC	30	1	274.48	32.16	46	352.63	11.75	2018-04-01	Generic
3120220379	0000000125	Abbott Laboratories SA Pty Ltd	841552002	J01FA	S4	Klacid XL 	Clarithromycin	500 mg SRT	5	1	143.76	12.96	23.51	180.23	36.05	2018-04-01	Originator
3120220379	0000000125	Abbott Laboratories SA Pty Ltd	841552003	J01FA	S4	Klacid XL 10	Clarithromycin	500 mg TAB	10	1	296.07	17.38	47.02	360.46	36.05		Originator
331130025	0000000125	Abbott Laboratories SA Pty Ltd	847844005	A08AA	S5	Reductil 10 	Sibutramine	10 mg CAP	30	1	241.05	29.94	40.65	311.64	10.39	2018-04-01	Originator
327130139	0000000125	Abbott Laboratories SA Pty Ltd	851892019	C02AC	S3	Physiotens 0,2	Moxonidine	0.2 mg TAB	28	1	220.32	22.59	36.44	279.35	9.98		Originator
327130140	0000000125	Abbott Laboratories SA Pty Ltd	851906001	C02AC	S3	Physiotens 0,3	Moxonidine	0.299 mg TAB	28	1	220.8	22.1	36.44	279.34	9.98	2018-04-01	Originator
327130141	0000000125	Abbott Laboratories SA Pty Ltd	851914004	C02AC	S3	Physiotens 0,4	Moxonidine	0.4 mg TAB	28	1	220.29	22.61	36.44	279.34	9.98	2018-04-01	Originator
331130026	0000000125	Abbott Laboratories SA Pty Ltd	853534004	A08AA	S5	Reductil 15 	Sibutramine	15 mg CAP	30	1	284.3	39.23	48.53	372.07	12.4		Originator
331110340	0000000125	Abbott Laboratories SA Pty Ltd	887162002	A09AA	S1	Creon 10000	Pancreatin	150 mg CAP	100	1	623.48	38.6	99.31	761.39	7.61	2018-04-01	Originator
331110340	0000000125	Abbott Laboratories SA Pty Ltd	887162003	A09AA	S1	Creon 10000	Pancreatin	150 mg CAP	20	1	124.73	7.72	19.87	152.32	7.62		Originator
4420280128	0000001151	Abbvie (Pty) Ltd	721595001	J05AE	S4	Norvir 100mg Tablets	Ritonavir	100 mg TAB	60	1	54.53	1.69	8.43	64.65	1.08	2018-04-01	Originator
3540193	0000001151	AbbVie (Pty) Ltd 	700642006	N01BB	S4	Chirocane 5 mg	Levobupivacaine	5 mg/ml INJ	10	10	586.44	28.33	92.22	706.99	7.07	2018-04-01	Originator
3540194	0000001151	AbbVie (Pty) Ltd 	700644001	N01BB	S4	Chirocane 7.5 mg	Levobupivacaine	7.5 mg/ml INJ	10	10	724.35	35.72	114.01	874.09	8.74		Originator
3520280254	0000001151	AbbVie (Pty) Ltd 	700922003	J05AE	S4	Kaletra Solution	Lopinavir	133.3 mg CAP	180	1	378.93	32.34	61.69	472.95	2.63	2018-04-01	Originator
3520280254	0000001151	AbbVie (Pty) Ltd 	700922003	J05AE	S4	Kaletra Solution	Ritonavir										
35202280255	0000001151	AbbVie (Pty) Ltd 	700924019	J05AE	S4	Kaletra Solution	Lopinavir	80 mg SOL	60	5	267.07	22.78	43.48	333.33	1.11	2018-04-01	Originator
35202280255	0000001151	AbbVie (Pty) Ltd 	700924019	J05AE	S4	Kaletra Solution	Ritonavir										
373020252	0000001151	AbbVie (Pty) Ltd 	705335001	L04AB	S4	Humira 40 mg	Adalimumab	40 mg INJ	0.8	2	7558.93	400.62	1193.93	9153.49	5720.93		Originator
G21209	0000001151	AbbVie (Pty) Ltd 	709643001	N01AB	S5	Forane	Isoflurane 	250 ml INF	100	1	622.03	34.9	98.54	755.48	7.55	2018-04-01	Originator
4120280217	0000001151	AbbVie (Pty) Ltd 	710028001	J05AE	S4	Aluvia	Lopinavir	200 mg TAB	120	1	211.64	18.05	34.45	264.14	2.2		Originator
4120280217	0000001151	AbbVie (Pty) Ltd 	710028001	J05AE	S4	Aluvia	Ritonavir										
4120280217	0000001151	AbbVie (Pty) Ltd 	710028002	J05AE	S4	Aluvia	Lopinavir	200 mg TAB	112	1	249.27	21.26	40.58	311.11	2.78	2018-04-01	Originator
4120280217	0000001151	AbbVie (Pty) Ltd 	710028002	J05AE	S4	Aluvia	Ritonavir										
4320280356	0000001151	AbbVie (Pty) Ltd 	715433001	J05AE	S4	Aluvia 100/25	Lopinavir	100 mg TAB	60	1	52.92	4.51	8.61	66.05	1.1	2018-04-01	Originator
4320280356	0000001151	AbbVie (Pty) Ltd 	715433001	J05AE	S4	Aluvia 100/25	Ritonavir										
4320280356	0000001151	AbbVie (Pty) Ltd 	715433002	J05AE	S4	Aluvia 100/25	Lopinavir	100 mg TAB	56	1	62.33	5.31	10.15	77.79	1.39	2018-04-01	Originator
4320280356	0000001151	AbbVie (Pty) Ltd 	715433002	J05AE	S4	Aluvia 100/25	Ritonavir										
373020252	0000001151	AbbVie (Pty) Ltd 	716266001	L04AB	S4	Humira 40 mg	Adalimumab	40 mg/0.8ml PED	0.8	2	7558.93	400.61	1193.93	9153.48	5720.92		Originator
S211051	0000001151	AbbVie (Pty) Ltd 	785504001	L02AE	S4	Lucrin 	Leuprorelin	5 mg/ml INJ	2.8	1	832.15	53.7	132.88	1018.73	363.83	2018-04-01	Generic
RX51252	0000001151	AbbVie (Pty) Ltd 	787736015	R03CA	S1	Ephedrine Sulfate Injection 50 mg/ml	Ephedrine Sulfate	50 mg/ml INJ	1	10	336.21	16.72	52.94	405.87	40.59		Originator
21022211	0000001151	AbbVie (Pty) Ltd 	797928006	R07AA	S1	Survanta 8	Beractant	25 mg/ml INJ	8	1	6817.92	301.28	1067.88	8187.07	1023.38	2018-04-01	Originator
2721100370	0000001151	AbbVie (Pty) Ltd 	806382007	L02AE	S4	Lucrin 3.75	Leuprorelin	3.75 mg INJ	2	1	1691.79	106.88	269.8	2068.47	1034.24	2018-04-01	Generic
29210748	0000001151	AbbVie (Pty) Ltd 	820326003	N01AB	S5	Ultane	Sevoflurane	100 ml SLN	250	1	1602.14	102.13	255.64	1959.91	7.84		Originator
F21115	0000001151	AbbVie (Pty) Ltd 	835773019	N01AB	S5	Ethrane	Enflurane	250 ml SLN	250	1	864.65	38.56	135.48	1038.69	4.15	2018-04-01	Originator
3420280175	0000001151	AbbVie (Pty) Ltd 	836095014	J05AE	S4	Norvir Sec 100 mg	Ritonavir	100 mg CAP	84	1	69.09	5.79	11.23	86.12	1.03		Originator
3120280217	0000001151	AbbVie (Pty) Ltd 	838527035	J05AE	S4	Norvir 80 mg/ml	Ritonavir	80 mg/ml SOL	90	1	61.88	5.31	10.08	77.27	0.86	2018-04-01	Originator
3221100317	0000001151	AbbVie (Pty) Ltd 	875295002	L02AE	S4	Lucrin 11.25	Leuprolide Acetate	11.25 mg INJ	2	1	4225.3	272.92	674.73	5172.96	2586.48	2018-04-01	Generic
343020240	0000001151	AbbVie (Pty) Ltd 	883856005	J06BB	S4	Synagis 50 mg	Palivizumab	50 mg INJ	1	1	6664.12	266.57	1039.6	7970.29	7970.29		Originator
343020241	0000001151	AbbVie (Pty) Ltd 	883864001	J06BB	S4	Synagis 100 mg	Palivizumab	100 mg/ml INJ	1	1	10779.79	431.19	1681.65	12892.63	12892.63	2018-04-01	Originator
343020241	0000001151	AbbVie (Pty) Ltd 	883864001	J06BB	S4	Synagis 100 mg	Trandolapril										
21022211	0000001151	AbbVie (Pty) Ltd 	894184008	R07AA	S1	Survanta	Beractant	25 mg/ml INJ	4	1	3408.32	151.28	533.94	4093.54	1023.38	2018-04-01	Originator
437130806	0000001152	Abex Pharmaceutica (Pty) Ltd	716476001	C09DA	S3	Hytenza Co 50/12,5	Losartan Potassium	50 mg FCT	30	1	75.36	8.34	12.56	96.26	3.21	2018-04-01	Generic
437130806	0000001152	Abex Pharmaceutica (Pty) Ltd	716476001	C09DA	S3	Hytenza Co 50/12,5	Hydrochlorothiazide										
437130804	0000001152	Abex Pharmaceutica (Pty) Ltd	717024001	C09CA	S3	Hytenza 50	Losartan Potassium	50 mg FCT	30	1	70.59	7.84	11.76	90.19	3.01	2018-04-01	Generic
437130805	0000001152	Abex Pharmaceutica (Pty) Ltd	717042001	C09CA	S3	Hytenza 100	Losartan Potassium	100 mg FCT	30	1	80.1	8.9	13.35	102.35	3.41		Generic
437130807	0000001152	Abex Pharmaceutica (Pty) Ltd	717084001	C09DA	S3	Hytenza Co 100/25	Losartan Potassium	100 mg FCT	30	1	86.46	9.6	14.41	110.47	3.68	2018-04-01	Generic
437130807	0000001152	Abex Pharmaceutica (Pty) Ltd	717084001	C09DA	S3	Hytenza Co 100/25	Hydrochlorothiazide										
437150983	0000001152	Abex Pharmaceutica (Pty) Ltd	720645001	G04BE	S4	Vitrixa 50	Sildenafil	50 mg TAB	4	1	133.91	8.55	21.37	163.83	40.96		Generic
437150984	0000001152	Abex Pharmaceutica (Pty) Ltd	720646001	G04BE	S4	Vitrixa 100	Sildenafil	100 mg TAB	4	1	183.68	11.72	29.31	224.71	56.18	2018-04-01	Generic
4811430436	0000001152	Abex Pharmaceutica (Pty) Ltd	721056001	A02BC	S4	Nexiflux 20	Esomeprazole	20 mg TAB	28	1	171.37	15.41	28.02	214.8	7.67		Generic
4811430436	0000001152	Abex Pharmaceutica (Pty) Ltd	721056002	A02BC	S4	Nexiflux 20	Esomeprazole	20 mg TAB	14	1	85.69	7.71	14.01	107.4	7.67	2018-04-01	Generic
4811430436	0000001152	Abex Pharmaceutica (Pty) Ltd	721056003	A02BC	S4	Nexiflux 20	Esomeprazole	20 mg TAB	30	1	183.69	16.54	30.03	230.25	7.68	2018-04-01	Generic
4811430437	0000001152	Abex Pharmaceutica (Pty) Ltd	721057001	A02BC	S4	Nexiflux 40	Esomeprazole	40 mg TAB	28	1	263.78	23.74	43.13	330.65	11.81		Generic
4811430437	0000001152	Abex Pharmaceutica (Pty) Ltd	721057002	A02BC	S4	Nexiflux 40	Esomeprazole	40 mg TAB	14	1	131.89	11.87	21.56	165.32	11.81	2018-04-01	Generic
4811430437	0000001152	Abex Pharmaceutica (Pty) Ltd	721057003	A02BC	S4	Nexiflux 40	Esomeprazole	40 mg TAB	30	1	282.57	25.43	46.2	354.19	11.81		Generic
4811430438	0000001152	Abex Pharmaceutica (Pty) Ltd	721061001	A02BC	S4	Nectizole 20	Esomeprazole	20 mg TAB	30	1	160.72	16.06	26.52	203.3	6.78	2018-04-01	Generic
4811430439	0000001152	Abex Pharmaceutica (Pty) Ltd	721062001	A02BC	S4	Nectizole 40	Esomeprazole	40 mg TAB	30	1	239.98	23.99	39.59	303.56	10.12	2018-04-01	Generic
465710004	0000001152	Abex Pharmaceutica (Pty) Ltd	721616001	R06AX	S2	Dehrin Solution	Desloratadine	2.5 mg/5ml SOL	120	1	114.65	8.6	18.49	141.73	1.18		Generic
465710004	0000001152	Abex Pharmaceutica (Pty) Ltd	721616002	R06AX	S2	Dehrin Solution	Desloratadine	2.5 mg/5ml SOL	150	1	143.31	10.74	23.11	177.17	1.18	2018-04-01	Generic
465710004	0000001152	Abex Pharmaceutica (Pty) Ltd	721616003	R06AX	S2	Dehrin Solution	Desloratadine	2.5 mg/5ml SOL	60	1	57.32	4.29	9.24	70.86	1.18		Generic
467130231	0000001152	Abex Pharmaceutica (Pty) Ltd	721629001	C09CA	S3	Abecard 8	Candesartan Cilexetil	8 mg TAB	30	1	110.34	9.58	17.99	137.91	4.6	2018-04-01	Generic
467130232	0000001152	Abex Pharmaceutica (Pty) Ltd	721630001	C09CA	S3	Abecard 16	Candesartan Cilexetil	16 mg TAB	30	1	110.34	9.58	17.99	137.91	4.6	2018-04-01	Generic
467130233	0000001152	Abex Pharmaceutica (Pty) Ltd	721631001	C09CA	S3	Abecard 32	Candesartan Cilexetil	32 mg TAB	30	1	110.34	9.58	17.99	137.91	4.6		Generic
442650673	0000001152	Abex Pharmaceutica (Pty) Ltd	723314001	N05AX	S5	Rispide 0,5	Risperidone	0.5 mg FCT	30	1	90.27	5.76	14.41	110.44	3.68	2018-04-01	Generic
442650674	0000001152	Abex Pharmaceutica (Pty) Ltd	723315001	N05AX	S5	Rispide 1	Risperidone	1 mg FCT	30	1	174.84	11.16	27.9	213.89	7.13		Generic
442650675	0000001152	Abex Pharmaceutica (Pty) Ltd	723316001	N05AX	S5	Rispide 2	Risperidone	2 mg FCT	30	1	376.22	24.02	60.04	460.28	15.34	2018-04-01	Generic
41260305	0000000985	Accord Healthcare (Pty) Ltd	711328001	L01BA	S4	Methacor 25mg/ml	Methotrexate	25 mg/ml INJ	2	1	22.94	2.56	3.82	29.32	14.66	2018-04-01	Generic
41260246	0000000985	Accord Healthcare (Pty) Ltd	711364001	L01BC	S4	Floracor 50mg/ml Injection	Fluorouracil	50 mg/ml INJ	5	1	12.92	1.44	2.15	16.51	3.3		Generic
41260246	0000000985	Accord Healthcare (Pty) Ltd	711366001	L01BC	S4	Floracor 50mg/ml Injection	Fluorouracil	50 mg/ml INJ	10	1	25.84	2.88	4.31	33.02	3.3	2018-04-01	Generic
41260435	0000000985	Accord Healthcare (Pty) Ltd	711367001	L01XA	S4	Accord-Carboplatin 10mg/ml Injection	Carboplatin	10 mg/ml INJ	15	1	226.93	25.21	37.82	289.96	19.33		Generic
41260435	0000000985	Accord Healthcare (Pty) Ltd	711368001	L01XA	S4	Accord-Carboplatin 10mg/ml Injection	Carboplatin	10 mg/ml INJ	45	1	680.64	75.63	113.44	869.71	19.33	2018-04-01	Generic
41261004	0000000985	Accord Healthcare (Pty) Ltd	712603001	L01XX	S4	Accord Irinotecan 40	Irinotecan Hydrochloride Trihydrate	40 mg/2ml INJ	2	1	308.7	34.3	51.45	394.45	197.23	2018-04-01	Generic
41261003	0000000985	Accord Healthcare (Pty) Ltd	712643001	L01XX	S4	Irinotas 	Irinotecan Hydrochloride 	20 mg/ml INJ	2	1	308.52	34.28	51.42	394.22	197.11		Generic
44260025	0000000985	Accord Healthcare (Pty) Ltd	712872001	L01XX	S4	Accord Irinotecan 100	Irinotecan Hydrochloride Trihydrate	100 mg/5ml INJ	5	1	771.75	85.75	128.63	986.13	197.23	2018-04-01	Generic
