drug_code,brand_name,ai_group_no,company_name,drug_identification_number
50341,DOM-TIAPROFENIC,0115902001,DOMINION PHARMACAL,02231059
50388,NUTRA BOOST,2332988001,BODY WISE INTERNATIONAL LLC,02231103
50430,ONCOVITE,1332985001,SEAFORD PHARMACEUTICALS INC,02231123
50444,THROMBOGEN,0132987001,JOHNSON & JOHNSON MEDICAL PRODUCTS,02231137
50445,THROMBOGEN,0232971001,JOHNSON & JOHNSON MEDICAL PRODUCTS,02231138
50446,THROMBOGEN,0232971002,JOHNSON & JOHNSON MEDICAL PRODUCTS,02231139
50447,THROMBOGEN,0232971003,JOHNSON & JOHNSON MEDICAL PRODUCTS,02231140
50448,THROMBOGEN SPRAY KIT,0232971002,JOHNSON & JOHNSON MEDICAL PRODUCTS,02231141
50562,DOM-TRYPTOPHAN,0111038006,DOMINION PHARMACAL,02231255
50567,IOPAMIDOL INJECTION USP,0116899003,HOSPIRA HEALTHCARE CORPORATION,02231260
50568,IOPAMIDOL INJECTION USP,0116899001,HOSPIRA HEALTHCARE CORPORATION,02231261
50595,DOM-CIMETIDINE,0111925005,DOMINION PHARMACAL,02231285
50601,DOM-CIMETIDINE,0111925006,DOMINION PHARMACAL,02231291
50629,ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES FARINAE,0123338004,GREER LABORATORIES INC,02231322
50630,ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES PTERONYSSINUS,0123337004,GREER LABORATORIES INC,02231323
50712,DOM-LITHIUM CARBONATE,0101163001,DOMINION PHARMACAL,02231397
50713,DOM-LITHIUM CARBONATE,0101163002,DOMINION PHARMACAL,02231398
50714,DOM-LITHIUM CARBONATE,0101163003,DOMINION PHARMACAL,02231399
50826,PMS-FENOFIBRATE,0118895002,PHARMASCIENCE INC,02231496
50864,DHS SAL,0102859017,SEAFORD PHARMACEUTICALS INC,02231520
50884,PMS-CARBAMAZEPINE,0108674001,PHARMASCIENCE INC,02231541
50888,PMS-METOPROLOL-L SR,0111923003,PHARMASCIENCE INC,02231546
50889,PMS-METOPROLOL-L SR,0111923001,PHARMASCIENCE INC,02231547
50990,CLEARASIL COMPLETE,0102859004,PROCTER & GAMBLE INC,02231619
51006,ZINC PLUS VITAMINS C & B6 LOZENGES,0332911001,VITA PLUS INDUSTRIES INC.,02231633
51023,ACTISITE,0105499013,PROCTER & GAMBLE INC,02231649
51045,DOM-CARBAMAZEPINE,0108674001,DOMINION PHARMACAL,02231670
51135,HENRY SCHEIN MINUTE TOPICAL FOAM FLUORIDE,0223917009,ABJ CUSTOM PACKAGING,02231757
51136,HENRY SCHEIN MINUTE TOPICAL FLUORIDE GEL,0331786001,ABJ CUSTOM PACKAGING,02231758
51137,HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - FINE GRIT,0131278005,ABJ CUSTOM PACKAGING,02231759
51138,HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - MEDIUM GRIT,0131278005,ABJ CUSTOM PACKAGING,02231760
51139,HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - COARSE GRIT,0131278005,ABJ CUSTOM PACKAGING,02231761
51140,"CARDURA-1,2,AND 4",0336986001,ASTRAZENECA CANADA INC,02231762
51152,ALKA-PAN TABLETS,0532879001,MORTER HEALTHSYSTEM,02231774
51278,SEAQUA X,0107629004,SEAFORD PHARMACEUTICALS INC,02231830
51363,VALERIAN ROOT CAPSULE 500MG,0104200004,JAMP PHARMA CORPORATION,02231911
51919,ANTLERVIRON,0428658002,CLASSICAL REMEDIA LTD,02232488
52141,ALLOPURINOL TABLETS 100MG,0103654001,LABORATOIRES CONFAB INC,02232605
52142,ALLOPURINOL TABLETS 200MG,0103654002,LABORATOIRES CONFAB INC,02232611
52143,ALLOPURINOL TABLETS 300MG,0103654003,LABORATOIRES CONFAB INC,02232613
52144,CHLORTHALIDONE 50MG TABLETS,0101804002,LABORATOIRES CONFAB INC,02232633
52145,CHLORTHALIDONE 100MG TABLETS,0101804001,LABORATOIRES CONFAB INC,02232642
52210,SULFINPYRAZONE TABLETS 100MG,0106089001,LABORATOIRES CONFAB INC,02232645
52211,SULFINPYRAZONE TABLETS 200MG,0106089002,LABORATOIRES CONFAB INC,02232646
52212,METHYLDOPA TABLETS 125MG,0100049003,LABORATOIRES CONFAB INC,02232648
52213,METHYLDOPA TABLETS 250MG,0100049001,LABORATOIRES CONFAB INC,02232650
52214,METHYLDOPA TABLETS 500MG,0100049002,LABORATOIRES CONFAB INC,02232651
52215,HYDROCHLOROTHIAZIDE 25MG TABLETS,0101048002,LABORATOIRES CONFAB INC,02232652
52216,HYDROCHLOROTHIAZIDE 50MG TABLETS,0101048001,LABORATOIRES CONFAB INC,02232653
52217,HYDROCHLOROTHIAZIDE 100MG TABLETS,0101048003,LABORATOIRES CONFAB INC,02232654
52218,SULFISOXAZOLE 500MG TABLETS,0106070001,LABORATOIRES CONFAB INC,02232655
52219,FLURAZEPAM 15MG CAPSULE,0108704002,LABORATOIRES CONFAB INC,02232656
52220,FLURAZEPAM 30MG CAPSULE,0108704001,LABORATOIRES CONFAB INC,02232657
52231,TRIFLUOPERAZINE 1MG TABLETS,0131362001,LABORATOIRES CONFAB INC,02232680
52232,TRIFLUOPERAZINE 2MG TABLETS,0131362003,LABORATOIRES CONFAB INC,02232690
52233,TRIFLUOPERAZINE 5MG TABLETS,0131362002,LABORATOIRES CONFAB INC,02232691
52234,TRIFLUOPERAZINE 10MG TABLETS,0131362004,LABORATOIRES CONFAB INC,02232692
52235,POTASSIUM SR 600MG TABLETS,0100273010,LABORATOIRES CONFAB INC,02232701
52236,OXAZEPAM 10MG TABLETS,0102420003,LABORATOIRES CONFAB INC,02232721
52237,OXAZEPAM 15MG TABLETS,0102420002,LABORATOIRES CONFAB INC,02232727
52238,OXAZEPAM 30MG TABLETS,0102420001,LABORATOIRES CONFAB INC,02232732
52239,DIAZEPAM 2MG TABLETS,0103614002,LABORATOIRES CONFAB INC,02232737
52241,DIAZEPAM 5MG TABLETS,0103614001,LABORATOIRES CONFAB INC,02232749
52243,DIAZEPAM 10MG TABLETS,0103614003,LABORATOIRES CONFAB INC,02232751
52244,FUROSEMIDE 20MG TABLETS,0101944002,LABORATOIRES CONFAB INC,02232752
52245,FUROSEMIDE 40MG TABLETS,0101944001,LABORATOIRES CONFAB INC,02232753
52246,OXYPHENBUTAZONE 100MG TABLETS,0103833001,LABORATOIRES CONFAB INC,02232754
52247,CARBAMAZEPINE 200MG TABLETS,0108674001,LABORATOIRES CONFAB INC,02232755
52248,ISONIAZIDE 100MG TABLETS,0107349002,LABORATOIRES CONFAB INC,02232756
52505,ECHINACEA CAPSULES 380MG,0125532009,JAMP PHARMA CORPORATION,02233020
52507,ECHINACEA TINCTURE,0125532011,JAMP PHARMA CORPORATION,02233021
52519,TANACET 125 WITH ANTINAUSEANT,0232530001,ASHBURY RESEARCH CORPORATION,02233031
53869,STERILE CEFAZOLIN SODIUM,0109442002,TEVA PHARMACEUTICAL INDUSTRIES LTD,02233853
53870,STERILE CEFAZOLIN SODIUM,0109442001,TEVA PHARMACEUTICAL INDUSTRIES LTD,02233854
53871,STERILE CEFAZOLIN SODIUM,0109442003,TEVA PHARMACEUTICAL INDUSTRIES LTD,02233855
59716,ERYTHROMYCIN CAPSULES USP 250MG,0105708003,LABORATOIRES CONFAB INC,02235885
59717,ERYTHROMYCIN STEARATE TABLETS USP 250MG,0105708003,LABORATOIRES CONFAB INC,02235887
59888,COUGH LOZENGES,0203424038,CLASSICAL REMEDIA LTD,02236467
60032,CLOTRIMADERM TOPICAL SOLUTION 1% USP,0110231001,TARO PHARMACEUTICALS INC,02236746
60044,DOM-NIFEDIPINE,0115253003,DOMINION PHARMACAL,02236757
60045,DOM-NIFEDIPINE,0115253001,DOMINION PHARMACAL,02236758
60060,ETHICAL HERBALS ECHINACEA PURPUREA,0126117010,ASHBURY RESEARCH CORPORATION,02236772
60061,ETHICAL HERBALS ECHINACEA ANGUSTIFOLIA,0125532011,ASHBURY RESEARCH CORPORATION,02236773
60089,MULTIVITAMIN,0931883002,LABORATOIRES CONFAB INC,02236800
60181,CAM SUN (HUILE THERAPEUTIQUE),0403332017,PRODEMDIS ENR.,02236889
60199,LACRYVISC,0131865001,ALCON CANADA INC,02236907
60219,DIGESTIVE ENZYMES,0831867001,MORTER HEALTHSYSTEM,02236927
60271,ETHICAL HERBALS DIGESTIVE AID (CHAMOMILE FLOWER EXTRACT),0106568020,ASHBURY RESEARCH CORPORATION,02236976
60272,ETHICAL HERBALS DIGESTIVE AID (PEPPERMINT LEAF EXTRACT),0106890008,ASHBURY RESEARCH CORPORATION,02236977
60300,REACTINE EYE DROPS,0213722002,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,02237000
60362,SAVON ANTISEPTIQUE MILAN,0108865005,LES PROMOTIONS ATLANTIQUES INC.,02237059
60472,AMOXICILLIN,0131314006,BGP PHARMA ULC,02237154
60528,ETHICAL HERBAL'S SAW PALMETTO BERRY EXTRACT,0117640011,ASHBURY RESEARCH CORPORATION,02237209
60652,HENRY SCHEIN TOPICAL ANESTHETIC GEL,0204973001,ABJ CUSTOM PACKAGING,02237329
60654,HENRY SCHEIN 2% NEUTRAL TOPICAL FOAM FLUORIDE,0131278014,ABJ CUSTOM PACKAGING,02237331
60695,APO-FLUCONAZOLE,0122529006,APOTEX INC,02237372
60709,DML FACIAL MOISTURIZER WITH SUNSCREEN,0216932014,SEAFORD PHARMACEUTICALS INC,02237386
60908,SPF 15 OIL FREE SUNSCREEN SPRAY,0427285003,KINESYS PHARMACEUTICAL INC,02237569
60909,SPF 30 OIL FREE SUNBLOCK CREAM,0424028007,KINESYS PHARMACEUTICAL INC,02237570
61054,SINUTAB DAYTIME/NIGHTIME EXTRA STRENGTH CAPLETS (COMBO PACK),0536793002,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,02237707
61129,WATKINS COQ10,0119427007,WATKINS INCORPORATED,02237773
61198,LEXXEL IDS,0231182001,VIVIER CANADA INCORPORATED,02237838
61211,DM COUGH SYRUP ANTITUSSIVE AND EXPECTORANT,0200826001,LABORATOIRES CONFAB INC,02237852
61408,VITA-COMPLETE,3033540001,VITA-COMPLETE CANADA INC.,02238027
61731,PMS-SOTALOL - 240 MG,0113778004,PHARMASCIENCE INC,02238328
61734,ETHICAL HERBALS MILK THISTLE EXTRACT,0107373018,ASHBURY RESEARCH CORPORATION,02238331
61962,BETOPTIC/PILO,0234221001,ALCON CANADA INC,02238539
62000,CLEARASIL STAYCLEAR ACNE DEFENSE CLEANSER,0102859004,PROCTER & GAMBLE INC,02238573
62020,MUSE,0115288009,PALADIN LABS INC,02238592
62115,ACTACEL,0834460003,SANOFI PASTEUR LIMITED,02238683
62116,ACTACEL HYBRID,0834460002,SANOFI PASTEUR LIMITED,02238684
62188,DIURETTE WATER PILLS,0103678001,"ALVA-AMCO PHARMACAL COMPANIES, INC.",02238753
62265,METFORMIN,0101773001,LABORATOIRES CONFAB INC,02238827
62266,EXPECTORANT,0103181002,PERRIGO INTERNATIONAL,02238828
62351,CLEARASIL STAYCLEAR ZONE CONTROL CLEARSTICK,0102859004,PROCTER & GAMBLE INC,02238910
62493,CHILDREN'S NICOLD MEDICINE,0315268002,TANTA PHARMACEUTICALS INC,02239040
62494,NICOLD MEDICINE FOR ADULTS,0419805002,TANTA PHARMACEUTICALS INC,02239041
62515,NITETIME COLD MEDICINE,0419805004,JAMP PHARMA CORPORATION,02239061
62535,DM 7.5MG CROQUABLE (CHEWABLE TABLET),0100807010,LABORATOIRE RIVA INC,02239080
62569,CLEAR ESSENCE MEDICATED FADE CREAM,0224862001,"BLUEFIELD ASSOCIATES, INC.",02239114
62639,DORMIPHEN AU NATUREL,0204252012,LABORATOIRE LALCO INC.,02239183
62837,NOCTYL VALERIAN ROOT EXTRACT TABLETS,0104200033,ASHBURY RESEARCH CORPORATION,02239368
62838,ECHINACEA ROOT EXTRACT LOZENGES,0107715015,ASHBURY RESEARCH CORPORATION,02239369
62843,HIGH POTENCY MULTIVITAMINS & MINERALS CAPLETS,3031725005,ASHBURY RESEARCH CORPORATION,02239374
62862,ANMIEN PIEN (SLEEPWELL HERBAL TABLET),0431886002,CLASSICAL REMEDIA LTD,02239392
62871,ZINC LOZENGES WITH VITAMIN C,0212464005,ASHBURY RESEARCH CORPORATION,02239399
62904,ONE-ALPHA,0135700004,LEO PHARMA INC,02239431
62913,CO-ENZYME Q-10 CAPSULES,0119427003,ASHBURY RESEARCH CORPORATION,02239440
62914,VITAMIN C 500MG TABLETS,0108469006,ASHBURY RESEARCH CORPORATION,02239441
62915,CHEWABLE VITAMIN C 500MG TABLETS,0108469006,ASHBURY RESEARCH CORPORATION,02239442
62916,VITAMIN E 200 IU CAPSULES,0108495002,ASHBURY RESEARCH CORPORATION,02239443
62917,VITAMIN E 400 IU CAPSULES,0108495005,ASHBURY RESEARCH CORPORATION,02239444
62933,CALCIUM PLUS,0632930001,LABORATOIRE RIVA INC,02239459
62935,VIGO MULTIVITAMINS DROPS/LOZENGE,0735760001,ASHBURY RESEARCH CORPORATION,02239461
62986,ETHICAL HERBALS FEVERFEW MIGRAINE FORMULA WITH ANTINAUSEANT,0232530001,ASHBURY RESEARCH CORPORATION,02239510
63025,ETHICAL HERBALS ECHINACEA ANGUSTIFOLIA,0125532010,ASHBURY RESEARCH CORPORATION,02239549
63044,SIBERIAN GINSENG EXTRACTUM,0108647015,CLASSICAL REMEDIA LTD,02239566
63045,SIBERIAN GINSENG TABLET,0108647016,CLASSICAL REMEDIA LTD,02239567
63076,CELEXA 10 MG,0136243003,LUNDBECK CANADA INC,02239606
63092,VITAMINES A - D CALCIUM,0336021001,LABORATOIRE LALCO INC.,02239621
63096,INFANT'S ACETAMINOPHEN SUSPENSION DROPS,0102009003,TANTA PHARMACEUTICALS INC,02239625
63097,TANTAPHEN CHILDREN'S ACETAMINOPHEN SUSPENSION LIQUID,0102009005,TANTA PHARMACEUTICALS INC,02239626
63114,DERMAZINC CREAM,0108628015,"DERMALOGIX PARTNERS, INC.",02239643
63113,DERMAZINC SHAMPOO,0108628002,"DERMALOGIX PARTNERS, INC.",02239644
63208,VITAMINE E 400 U.I.,0108495005,LABORATOIRE RIVA INC,02239725
63318,PMS-PIMOZIDE,0109963002,PHARMASCIENCE INC,02239831
63364,LAMISIL DERMGEL,0132855003,NOVARTIS PHARMACEUTICALS CANADA INC,02239876
63377,QUANTERRA DIGESTIVE COMFORT,0106676006,ASHBURY RESEARCH CORPORATION,02239889
63378,QUANTERRA STOMACH COMFORT,0106676006,ASHBURY RESEARCH CORPORATION,02239890
63383,QUANTERRA MIGRAINE TANACET TABLETS,0119569001,ASHBURY RESEARCH CORPORATION,02239891
63384,QUANTERRA SLEEP,0104200011,ASHBURY RESEARCH CORPORATION,02239892
63391,EAGLE BRAND MEDICATED OIL,0310087005,"BORDEN CO., (PTE) LTD.",02239899
63435,SCOTT'S EMULSION VITAMIN A AND D SUPPLEMENT,0208056030,CLASSICAL REMEDIA LTD,02239934
63436,SCOTT'S EMULSION VITAMIN A AND D SUPPLEMENT CHERRY FLAVOR,0208056030,CLASSICAL REMEDIA LTD,02239935
63473,LOTION ÉCRAN SOLAIRE UNIVERSEL FPS 15 AVEC DIOXYDE DE TITANE,0423699007,PRODEMDIS ENR.,02239968
63474,LOTION ÉCRAN SOLAIRE UNIVERSEL FPS 30 AVEC DIOXYDE DE TITANE,0423699005,PRODEMDIS ENR.,02239969
63501,ETHICAL HERBALS MIGRAINE PREVENTION,0119569001,ASHBURY BIOLOGICALS INC.,02239994
63502,ETHICAL HERBALS SLEEP AID,0104200003,ASHBURY RESEARCH CORPORATION,02239995
63503,NOCTYL VALERIAN ROOT EXTRACT CAPSULES,0104200003,ASHBURY RESEARCH CORPORATION,02239996
63504,QUANTERRA DIGESTION,0106676006,ASHBURY RESEARCH CORPORATION,02239997
63505,QUANTERRA SORE THROAT DEFENSE,0126117010,ASHBURY RESEARCH CORPORATION,02239998
63506,QUANTERRA MIGRAINE PREVENTION,0119569001,ASHBURY RESEARCH CORPORATION,02239999
63574,CANESTEN POWDER,0102537001,BAYER INC,02240064
63634,QUANTERRA SLEEP,0104200033,ASHBURY RESEARCH CORPORATION,02240120
63675,RELIEVOL PMS REGULAR STRENGTH TABLETS,0316117001,TANTA PHARMACEUTICALS INC,02240159
63682,"COVER GIRL CLEAN CONTROL MAKEUP, 11.8% TITANIUM DIOXIDE",0117398007,PROCTER & GAMBLE INC,02240165
63683,"COVER GIRL CLEAN CONTROL MAKEUP, 8.5% TITANIUM DIOXIDE",0117398004,PROCTER & GAMBLE INC,02240166
63828,ACLEAR MEDICATED CLEANSING PADS,0118881011,ASHBURY RESEARCH CORPORATION,02240290
63880,ECHINACEA/GOLDEN SEAL COLD FORMULA,0237603002,ASHBURY RESEARCH CORPORATION,02240340
63896,ETHICAL HERBALS NATURAL PAIN RELIEVER,0128272002,ASHBURY RESEARCH CORPORATION,02240354
63897,GARLIC CAPLETS,0107197013,ASHBURY RESEARCH CORPORATION,02240355
64005,ETHICAL HERBALS SAW PALMETTO,0117640015,ASHBURY RESEARCH CORPORATION,02240453
64006,NATURAL WOMEN FORMULA TABLETS,0107242015,ASHBURY RESEARCH CORPORATION,02240454
64095,ETHICAL HERBALS SORE THROAT/COUGH/COLD DEFENSE,0237603002,ASHBURY RESEARCH CORPORATION,02240525
64098,FLEXACREME,0103740003,PRODEMDIS ENR.,02240528
64105,SEAQADERM SOAP,0108865001,SEAFORD PHARMACEUTICALS INC,02240535
64124,EVENING PRIMROSE OIL WITH VITAMIN E,0215019003,ASHBURY RESEARCH CORPORATION,02240554
64127,GINSENG ENERGY FORMULA TABLETS,0108647004,ASHBURY RESEARCH CORPORATION,02240558
64137,"MEDICAMENT POUR LE RHUME, JOUR",0319503001,LABORATOIRE RIVA INC,02240565
64138,"MEDICAMENT POUR LE RHUME, NUIT",0414717004,LABORATOIRE RIVA INC,02240566
64240,ETHICAL HERBALS MENSTRUAL/MENOPAUSE SYMPTOM RELIEF,0107242015,ASHBURY RESEARCH CORPORATION,02240661
64283,ETHICAL HERBALS ST. JOHN'S WORT,0108667032,ASHBURY RESEARCH CORPORATION,02240696
64284,ETHICAL HERBALS ST. JOHN'S WORT,0108667021,ASHBURY RESEARCH CORPORATION,02240697
64328,ETHICAL HERBALS URINARY FLOW,0117640015,ASHBURY RESEARCH CORPORATION,02240739
64455,CALCIUM ET MAGNESIUM PLUS VITAMIN D,0313924022,LABORATOIRE LALCO INC.,02240864
64543,ETHICAL HERBALS DEVIL'S CLAW,0118211007,ASHBURY RESEARCH CORPORATION,02240952
64545,CHLORPHENIRAMINE MALEATE INJECTION USP,0100615001,OMEGA LABORATORIES LTD,02240953
64896,BRONCHOPHAN ONGUENT VAPORISANT,0303356001,LABORATOIRE ATLAS INC,02241286
64958,NOXZEMA SKIN FITNESS SKIN ENDURANCE WITH UV PROTECTANT,0216792004,PROCTER & GAMBLE INC,02241331
64987,ETHICAL HERBALS SIBERIAN GINSENG ENERGY FORMULA,0139261001,ASHBURY RESEARCH CORPORATION,02241355
65028,ETHICAL HERBALS MILK THISTLE EXTRACT,0107373022,ASHBURY RESEARCH CORPORATION,02241392
65033,BAISIX,0311070002,PRODEMDIS ENR.,02241397
65034,POUR MA SANTÉ,0639344001,PRODEMDIS ENR.,02241398
65139,ETHICAL HERBALS CRANBERRY EXTRACT,0139541001,ASHBURY RESEARCH CORPORATION,02241499
65143,ETHICAL HERBALS GARLIC TABLETS,0107197014,ASHBURY RESEARCH CORPORATION,02241503
65261,DOM-IPRATROPIUM 125 MCG/ML,0115643003,DOMINION PHARMACAL,02241604
65262,DOM-IPRATROPIUM 250 MCG/ML (20 ML),0115643001,DOMINION PHARMACAL,02241605
65263,DOM-IPRATROPIUM 250 MCG/ML (1 ML),0115643001,DOMINION PHARMACAL,02241606
65264,DOM-IPRATROPIUM 250 MCG/ML (2 ML),0115643001,DOMINION PHARMACAL,02241607
65321,CAMERHOIGN,0103740002,SEAFORD PHARMACEUTICALS INC,02241661
65322,ASPIRIN MIGRAINE,0101169012,BAYER INC,02241662
65421,BENYLIN DM LIQUID CENTRE LOZENGES EXTRA STRENGTH,0100807007,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,02241758
65422,BENYLIN DM LIQUID CENTRE LOZENGES,0100807010,MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC,02241759
65456,DOM-BENZTROPINE,0107632002,DOMINION PHARMACAL,02241791
65480,PMS-TERBINAFINE CREAM,0124452001,PHARMASCIENCE INC,02241815
65481,PMS-TERBINAFINE SPRAY,0124452001,PHARMASCIENCE INC,02241816
65492,AMOXICILLIN CAPSULES 250 MG,0131314001,4349121 CANADA INC,02241826
65493,AMOXICILLIN CAPSULES 500 MG,0131314006,4349121 CANADA INC,02241827
65693,ETHICAL HERBALS ST.JOHN'S WORT,0108667021,ASHBURY RESEARCH CORPORATION,02242022
65698,SUPER EXTRA STRENGTH ASPIRIN BACKACHE,0201273003,BAYER INC,02242027
65699,ASPIRIN BACKACHE,0201273001,BAYER INC,02242028
65930,SAFE 4 HOURS ANTI-MICROBIAL SPRAY SKIN PROTECTOR,0108865007,SKINVISIBLE PHARMACEUTICALS INC,02242246
66456,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - KENTUCKY BLUE/JUNE,0134144002,GREER LABORATORIES INC,02242665
66458,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - SWEET VERNAL,0152573002,GREER LABORATORIES INC,02242669
66460,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - RED TOP,0134160002,GREER LABORATORIES INC,02242671
66462,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - MEADOW FESCUE,0134143002,GREER LABORATORIES INC,02242673
66464,ALLERGENIC EXTRACT - STANDARDIZED GRASS POLLEN - ORCHARD,0134145002,GREER LABORATORIES INC,02242675
66545,PMS-FLUMETHASONE-CLIOQUINOL,0204579002,PHARMASCIENCE INC,02242737
66695,HYDROXYZINE HYDROCHLORIDE INJECTION,0106172004,FRESENIUS KABI CANADA LTD,02242864
66712,PREMPLUS CYCLE,0242061003,PFIZER CANADA INC,02242880
66742,APO-CARBAMAZEPINE CR,0108674001,APOTEX INC,02242908
