drug_code,ingredient_name,strength
48120,MEDROXYPROGESTERONE ACETATE,2.5 MG
48121,MEDROXYPROGESTERONE ACETATE,5 MG
48204,MEDROXYPROGESTERONE ACETATE,10 MG
48398,NORGESTREL,0.075 MG
48620,ALPHA 1-PROTEINASE INHIBITOR (HUMAN),500 MG
48946,ALPHA 1-PROTEINASE INHIBITOR (HUMAN),1 G
48965,AMLODIPINE (AMLODIPINE BESYLATE),2.5 MG
48992,PHENYLBUTAZONE,12 G
48993,CALCITONIN (SALMON SYNTHETIC),200 UNIT
49008,KETOTIFEN (KETOTIFEN FUMARATE),1 MG
49052,VALERIAN,140 MG
49239,IODINE (KELP),50 MCG
49246,CHOLINE (CHOLINE BITARTRATE),16.67 MG
49285,INOSITOL,16.67 MG
49534,MAGNESIUM (MAGNESIUM OXIDE),83.33 MG
49593,COPPER (COPPER SULFATE),0.66 MG
49644,VITAMIN D (VITAMIN D2),133.33 UNIT
49656,CHROMIUM (CHROMIC CHLORIDE),33.33 MCG
49781,MOLYBDENUM (SODIUM MOLYBDATE),16.67 MCG
49783,VANADIUM (VANADIUM CITRATE),16.67 MCG
49790,CALCIUM (CALCIUM CARBONATE),166.67 MG
49791,MANGANESE (MANGANESE SULFATE),8.33 MG
49971,POTASSIUM (POTASSIUM CHLORIDE),33 MG
49987,ZINC (ZINC SULFATE),5 MG
49988,SELENIUM (SODIUM SELENITE),33.33 MCG
49989,NICOTINAMIDE,16.67 MG
62213,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),16.67 MG
50139,BIOTIN,100 MCG
50213,VITAMIN B1 (THIAMINE MONONITRATE),8.33 MG
50298,VITAMIN B2,5 MG
50325,BETA-CAROTENE,3333 UNIT
50341,VITAMIN E (D-ALPHA TOCOPHERYL ACID SUCCINATE),66.67 UNIT
50388,VITAMIN A (RETINOL PALMITATE),1667 UNIT
50430,VITAMIN C,333 MG
50444,CHROMIUM (CHROMIC CHLORIDE),33.33 MCG
50445,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),8.33 MG
50446,FOLIC ACID,133.37 MCG
50447,VITAMIN B12 (VITAMIN B12),66.66 MCG
50448,TEA TREE OIL,100 %
50562,TRICLOSAN,1 %
50567,CHAMOMILE,1000 MG
50568,CHROMIUM HVP CHELATE,133.33 MCG
50595,POTASSIUM HVP CHELATE,33 MG
50601,VITAMIN D2 (VITAMIN D2),100 UNIT
50629,MAGNESIUM (MAGNESIUM OXIDE),125 MG
50630,COPPER (COPPER SULFATE),0.5 MG
50712,MAGNESIUM SILICATE,12.5 MG
50713,CALCIUM (CALCIUM CARBONATE),250 MG
50714,MANGANESE (MANGANESE SULFATE),2.5 MG
50826,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),2.5 MG
50856,ZINC (ZINC SULFATE),3.75 MG
50864,METHIONINE,25 MG
50884,NICOTINAMIDE,50 MG
50888,MAGNESIUM (MAGNESIUM CITRATE),50 MG
50889,BETA-CAROTENE,2500 UNIT
50990,VITAMIN E,100 UNIT
51006,VITAMIN C,150 MG
51023,NICOTINIC ACID,50 MG
51032,CHROMIUM (CHROMIC CHLORIDE),25 MCG
51045,BENZALKONIUM CHLORIDE,5 %
51057,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,5 %
51059,ISOPROPYL ALCOHOL,70 %
51135,PIPERAZINE (PIPERAZINE CITRATE),50 MG
51136,DICHLOROPHENE,250 MG
51137,"VITAMIN C (VITAMIN C, SODIUM ASCORBATE)",125 MG
51138,VITAMIN E (MIXED TOCOPHEROLS),30 MG
51139,UBIDECARENONE,30 MG
51140,OXYBENZONE,30 MG
51152,OCTINOXATE,50 MG
51278,OCTINOXATE,30 MG
51363,TETANUS TOXOID,5 LF
51919,DIPHTHERIA TOXOID,15 LF
52141,PERTACTIN,3 MCG
52142,FIMBRIAE,5 MCG
52143,PERTUSSIS TOXOID,10 MCG
52144,FILAMENTOUS HAEMAGGLUTININ,5 MCG
52145,NICOTINAMIDE,1250 MG
52210,VITAMIN B1 (THIAMINE HYDROCHLORIDE),500 MG
52211,VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM),50 MG
52212,VITAMIN C,500 MG
52213,DEXPANTHENOL,60 MG
52214,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),50 MG
52215,VITAMIN B12 (VITAMIN B12),10000 MCG
52216,BISACODYL,2 MG
52217,ZUCLOPENTHIXOL DECANOATE,500 MG
52218,CIS-LINOLEIC ACID (EVENING PRIMROSE OIL),360 MG
52219,VITAMIN E (D-ALPHA TOCOPHEROL),14.9 UNIT
52220,GAMMA-LINOLENIC ACID (EVENING PRIMROSE OIL),50 MG
52231,FLUORIDE (SODIUM FLUORIDE),1.23 %
52232,FLUTAMIDE,250 MG
52233,IODINE (KELP),0.1 MG
52234,NICOTINAMIDE,40 MG
52235,D-PANTOTHENIC ACID,15 MG
52236,CHOLINE (CHOLINE BITARTRATE),100 MG
52237,INOSITOL,25 MG
52238,BIOTIN,150 MCG
52239,"MAGNESIUM (MAGNESIUM OXIDE, MAGNESIUM HVP CHELATE)",50 MG
52241,VITAMIN B1 (VITAMIN B1),6.25 MG
52243,VITAMIN B2 (VITAMIN B2),6.25 MG
52244,VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE),15 UNIT
52245,VITAMIN A (BETA-CAROTENE),2500 UNIT
52246,"VITAMIN C (VITAMIN C, ASCORBYL PALMITATE)",60 MG
52247,CHROMIUM (CHROMIC CHLORIDE),5 MCG
52248,MOLYBDENUM (MOLYBDENUM HVP CHELATE),3 MCG
52505,CALCIUM (CALCIUM CITRATE),50 MG
52507,MANGANESE (MANGANESE HVP CHELATE),0.5 MG
52517,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),6.25 MG
52519,ZINC (ZINC GLUCONATE),9 MG
53869,FOLIC ACID,0.2 MG
53870,VITAMIN B12,45 MCG
53871,SELENIUM (SODIUM SELENITE),37.5 MCG
59716,NICOTINAMIDE,80 MG
59717,D-PANTOTHENIC ACID,60 MG
59888,VITAMIN C (VITAMIN C),150 MG
60032,MANGANESE (MANGANESE HVP CHELATE),1 MG
60044,ZINC (ZINC GLUCONATE),5 MG
60045,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),250 MG
60060,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),500 MG
60061,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),125 MG
60089,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),250 MG
60181,CODONOPSITIS,625 MG
60199,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),25 MG
60216,MAGNESIUM (MAGNESIUM CITRATE),25 MG
60219,BETA-CAROTENE (PROVITAMIN A),2500 UNIT
60271,VITAMIN E (D-ALPHA TOCOPHERYL ACID SUCCINATE),15 UNIT
60272,VITAMIN C,25 MG
60299,POTASSIUM (POTASSIUM CHLORIDE),12.5 MG
60300,SELENIUM (SODIUM SELENITE),50 MCG
60336,ZINC (ZINC SULFATE),5 MG
60337,MAGNESIUM (MAGNESIUM CITRATE),16.67 MG
60338,ZINC (ZINC SULFATE),3.33 MG
60339,PHOSPHORIC ACID,21.34 %
60343,WHITE FACED HORNET VENOM PROTEIN,1300 MCG
60362,PLANTAGO SEED,500 MG
60472,HYPERICUM PERFORATUM,900 MG
60517,DISODIUM EDETATE,0.1 %
60528,POLYQUATERNIUM 1,0.0011 %
60652,TIAPROFENIC ACID,200 MG
60654,IODINE (KELP),50 MCG
60695,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),3.33 MG
60709,BIOTIN,100 MCG
60908,VITAMIN D3 (CHOLECALCIFEROL),133.33 UNIT
60909,MAGNESIUM (MAGNESIUM HVP CHELATE),133.33 MG
60952,VITAMIN B1 (THIAMINE HYDROCHLORIDE),0.5 MG
60953,VITAMIN B2 (RIBOFLAVIN),0.57 MG
60955,BETA-CAROTENE (PROVITAMIN A),1666.67 UNIT
61054,COPPER (COPPER HVP CHELATE),0.67 MG
61129,VITAMIN E (D-ALPHA TOCOPHEROL),10 UNIT
61198,VITAMIN C (ASCORBIC ACID),40 MG
61211,NICOTINIC ACID,6.67 MG
61408,CHROMIUM (CHROMIUM HVP CHELATE),66.67 MCG
61668,MOLYBDENUM (MOLYBDENUM HVP CHELATE),25 MCG
61731,PHOSPHORUS (PHOSPHORUS HVP CHELATE),41.67 MG
61734,CALCIUM (CALCIUM HVP CHELATE),50 MG
61803,MANGANESE (MANGANESE HVP CHELATE),0.67 MG
61962,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),0.67 MG
61999,POTASSIUM (POTASSIUM CHLORIDE),33 MG
62000,ZINC (ZINC HVP CHELATE),5 MG
62020,FOLIC ACID,133.33 MCG
62115,VITAMIN B12 (CYANOCOBALAMIN),66.67 MCG
62116,SELENIUM (SODIUM SELENITE),100 MCG
62148,NICOTINAMIDE,6 MG
62188,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),5 MG
73578,VITAMIN D3,400 UNIT
73582,VITAMIN B1 (THIAMINE MONONITRATE),0.6 MG
73584,VITAMIN B2,1 MG
73585,BETA-CAROTENE,2000 UNIT
73621,VITAMIN E (DL-ALPHA TOCOPHERYL ACID SUCCINATE),200 UNIT
73661,VITAMIN A (VITAMIN A ACETATE),8000 UNIT
73662,VITAMIN C (ASCORBIC ACID),500 MG
73663,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),25 MG
73664,ZINC (ZINC OXIDE),7.5 MG
73670,FOLIC ACID,0.4 MG
73672,VITAMIN B12 (CYANOCOBALAMIN),2 MCG
73679,THROMBIN (BOVINE),1000 UNIT
73717,THROMBIN (BOVINE),5000 UNIT
73771,SODIUM CHLORIDE,5 ML
73776,THROMBIN (BOVINE),10000 UNIT
73777,SODIUM CHLORIDE,10 ML
73808,THROMBIN (BOVINE),20000 UNIT
73818,SODIUM CHLORIDE,20 ML
73857,THROMBIN (BOVINE),10000 UNIT
73860,SODIUM CHLORIDE,10 ML
73861,TRYPTOPHAN,1 G
73862,IOPAMIDOL,61 %
73863,IOPAMIDOL,76 %
73910,CIMETIDINE,200 MG
73911,CIMETIDINE,800 MG
73912,DERMATOPHAGOIDES FARINAE,5000 UNIT
73913,DERMATOPHAGOIDES PTERONYSSINUS,5000 UNIT
73914,LITHIUM CARBONATE,150 MG
73926,LITHIUM CARBONATE,300 MG
73928,LITHIUM CARBONATE,600 MG
73987,FENOFIBRATE,100 MG
74006,BENZALKONIUM CHLORIDE,5.0 %
74008,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,5.0 %
74013,SALICYLIC ACID,3.0 %
74101,CARBAMAZEPINE,200 MG
74103,METOPROLOL TARTRATE,100 MG
74104,METOPROLOL TARTRATE,200 MG
74141,SALICYLIC ACID,2 %
74261,VITAMIN C (ASCORBIC ACID),60 MG
74339,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),5 MG
74340,ZINC (ZINC GLUCONATE),15 MG
74347,TETRACYCLINE HYDROCHLORIDE,12.7 MG
74349,DIPYRONE,500 MG
74350,CARBAMAZEPINE,200 MG
74351,ISOPROPYL ALCOHOL,15.3 %
74352,BENZETHONIUM CHLORIDE,0.25 %
74362,ISOPROPYL ALCOHOL,15.3 %
74370,BENZETHONIUM CHLORIDE,0.25 %
74382,HYDROGEN FLUORIDE,0.5 %
74383,SODIUM FLUORIDE,1.69 %
74384,HYDROGEN FLUORIDE,0.5 %
74385,PHOSPHORIC ACID,1.1 %
74386,SODIUM FLUORIDE,1.7 %
62265,FLUORIDE (SODIUM FLUORIDE),1.23 %
62266,FLUORIDE (SODIUM FLUORIDE),1.23 %
62351,FLUORIDE (SODIUM FLUORIDE),1.23 %
62400,DOXAZOSIN (DOXAZOSIN MESYLATE),1 MG
62493,DOXAZOSIN (DOXAZOSIN MESYLATE),2 MG
62494,DOXAZOSIN (DOXAZOSIN MESYLATE),4 MG
62515,OX BILE EXTRACT,35 MG
62535,BETAINE HYDROCHLORIDE,20 MG
62569,BROMELAIN,50 MG
62639,PAPAIN (PAPAYA),125 MG
62801,PANCREATIN,135 MG
62837,CHLORHEXIDINE GLUCONATE,2.0 %
62838,VALERIAN,500 MG
62843,VITAMIN B1,4.5 MG
62862,VITAMIN B2,2 MG
62871,VITAMIN C,100 MG
62874,VITAMIN B6,1 MG
62875,ALLOPURINOL,100 MG
62876,ALLOPURINOL,200 MG
62904,ALLOPURINOL,300 MG
62913,CHLORTHALIDONE,50 MG
62914,CHLORTHALIDONE,100 MG
62915,SULFINPYRAZONE,100 MG
62916,SULFINPYRAZONE,200 MG
62917,METHYLDOPA,125 MG
62933,METHYLDOPA,250 MG
62935,METHYLDOPA,500 MG
62986,HYDROCHLOROTHIAZIDE,25 MG
63025,HYDROCHLOROTHIAZIDE,50 MG
63044,HYDROCHLOROTHIAZIDE,100 MG
63045,SULFISOXAZOLE,500 MG
63057,FLURAZEPAM HYDROCHLORIDE,15 MG
63058,FLURAZEPAM HYDROCHLORIDE,30 MG
63061,TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),1 MG
63062,TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),2 MG
63063,TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),5 MG
63064,TRIFLUOPERAZINE (TRIFLUOPERAZINE HYDROCHLORIDE),10 MG
63065,POTASSIUM CHLORIDE,600 MG
63076,OXAZEPAM,10 MG
63092,OXAZEPAM,15 MG
63096,OXAZEPAM,30 MG
63097,DIAZEPAM,2 MG
63113,DIAZEPAM,5 MG
63114,DIAZEPAM,10 MG
63208,FUROSEMIDE,20 MG
63318,FUROSEMIDE,40 MG
63364,OXYPHENBUTAZONE,100 MG
63377,CARBAMAZEPINE,200 MG
63378,ISONIAZID,100 MG
63383,ECHINACEA ANGUSTIFOLIA,380 MG
63384,ECHINACEA ANGUSTIFOLIA,200 MG
63391,IODINE,20 MG
63435,GINGER,500 MG
63436,FEVERFEW,125 MG
63453,CEFAZOLIN (CEFAZOLIN SODIUM),500 MG
63473,CEFAZOLIN (CEFAZOLIN SODIUM),1 G
63474,CEFAZOLIN (CEFAZOLIN SODIUM),10 G
63501,ERYTHROMYCIN,250 MG
63502,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),250 MG
63503,EUCALYPTUS OIL,0.2 MG
63504,MENTHOL,2.5 MG
63505,CLOTRIMAZOLE,10 MG
63506,NIFEDIPINE,5 MG
63566,NIFEDIPINE,10 MG
63574,ECHINACEA PURPUREA (ECHINACEA),166 MG
63580,ECHINACEA ANGUSTIFOLIA (ECHINACEA),200 MG
63634,NICOTINAMIDE,20 MG
63675,PYRIDOXINE HYDROCHLORIDE,3 MG
63682,VITAMIN D3,400 UNIT
63683,VITAMIN B1 (THIAMINE MONONITRATE),5 MG
63794,VITAMIN B2,3 MG
63828,VITAMIN A,2000 UNIT
63879,VITAMIN C,100 MG
63880,FOLIC ACID,1 MG
63896,VITAMIN B12,5 MCG
63897,CAMPHOR,11 %
64005,EUCALYPTUS OIL,3 %
64006,MENTHOL,16 %
64095,METHYL SALICYLATE,29 %
64098,CARBOMER,0.3 %
64105,THIAMINE HYDROCHLORIDE,200 MG
64124,CELLULASE,2 UNIT
64127,BETAINE HYDROCHLORIDE,3 MG
64137,BROMELAIN (PINEAPPLE ENZYME),50 MG
64138,PAPAIN,50 MG
64187,PROTEASE,6500 UNIT
64240,LIPASE,145 UNIT
64283,AMYLASE,2000 UNIT
64284,LACTASE,100 UNIT
64328,CHAMOMILE,185 MG
64455,PEPPERMINT,250 MG
64541,PIPERAZINE (PIPERAZINE CITRATE),400 MG
64543,DICHLOROPHENE,400 MG
64545,NAPHAZOLINE HYDROCHLORIDE,0.025 %
64772,PHENIRAMINE MALEATE,0.3 %
64848,PIPERAZINE (PIPERAZINE CITRATE),400 MG
64849,DICHLOROPHENE,400 MG
64850,PIPERAZINE (PIPERAZINE CITRATE),50 MG
64851,DICHLOROPHENE,250 MG
64896,PIPERAZINE (PIPERAZINE CITRATE),400 MG
64958,DICHLOROPHENE,400 MG
64987,PIPERAZINE (PIPERAZINE CITRATE),50 MG
65028,DICHLOROPHENE,250 MG
65033,GLUTARAL,20 %
65034,TRICLOSAN,1 MG
65139,AMOXICILLIN,500 MG
65143,IODINE (POVIDONE-IODINE),1 %
65224,SAW PALMETTO,800 MG
65261,BENZOCAINE,18 %
65262,TETRACAINE HYDROCHLORIDE,2 %
65263,FLUORIDE (SODIUM FLUORIDE),1 %
65264,FLUCONAZOLE,200 MG
65321,OXYBENZONE,4 %
65322,OCTINOXATE,7.5 %
65421,MERADIMATE,4 %
65422,OCTOCRYLENE,5 %
65456,OCTISALATE,6 %
65480,OCTINOXATE,7.5 %
65481,TITANIUM DIOXIDE,6 %
65492,OCTOCRYLENE,3 %
65493,OXYBENZONE,5 %
65693,OCTINOXATE,7.5 %
65698,BENZALKONIUM CHLORIDE,0.3 %
65699,DIDECYL DIMETHYL AMMONIUM CHLORIDE,0.45 %
65930,BENZALKONIUM CHLORIDE,1.0 %
66132,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,0.3 %
66456,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,0.75 %
66458,BENZALKONIUM CHLORIDE,1.6 %
66460,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,1.6 %
66462,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
66464,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
66545,ACETAMINOPHEN,500 MG
66695,ACETAMINOPHEN,500 MG
66712,DIPHENHYDRAMINE HYDROCHLORIDE,25 MG
66742,UBIDECARENONE,60 MG
66743,HEXAMIDINE ISETHIONATE,0.1 %
66903,ALUMINUM CHLORIDE,23 %
66904,GUAIFENESIN,100 MG
66905,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
66970,IODINE (POTASSIUM IODIDE),0.15 MG
66971,NICOTINAMIDE,20 MG
67107,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),10 MG
67108,BIOTIN,30 MCG
67200,MAGNESIUM (MAGNESIUM OXIDE),100 MG
67231,CHLORIDE (POTASSIUM CHLORIDE),27 MG
67283,NICKEL (NICKEL SULFATE),5 MCG
67390,VITAMIN B1 (THIAMINE MONONITRATE),1.5 MG
67442,VITAMIN B2,1.7 MG
67443,BETA-CAROTENE (PROVITAMIN A),1000 UNIT
67501,COPPER (CUPRIC SULFATE),2 MG
67510,VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE),30 UNIT
67561,VITAMIN D (CHOLECALCIFEROL),400 UNIT
67602,VITAMIN A (RETINOL PALMITATE),4000 UNIT
67603,VITAMIN C,60 MG
67610,SILICON DIOXIDE (SODIUM METASILICATE),0.01 MG
67665,IRON (FERROUS FUMARATE),18 MG
67683,CHROMIUM (CHROMIC CHLORIDE),25 MCG
67774,MOLYBDENUM (SODIUM MOLYBDATE),25 MCG
67977,VANADIUM (SODIUM METAVANADATE),10 MCG
67984,PHOSPHORUS (CALCIUM PHOSPHATE (DIBASIC)),125 MG
68036,CALCIUM (CALCIUM PHOSPHATE (DIBASIC)),162 MG
68056,MANGANESE (MANGANESE CITRATE),5 MG
68057,VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE),2 MG
68058,POTASSIUM (POTASSIUM CHLORIDE),30 MG
68065,TIN (STANNOUS CHLORIDE),0.01 MG
68067,ZINC (ZINC SULFATE),15 MG
68068,FOLIC ACID,0.4 MG
68069,VITAMIN B12 (CYANOCOBALAMIN),6 MCG
68070,SELENIUM (SODIUM SELENITE),25 MCG
68071,BENZALKONIUM CHLORIDE,0.25 %
68075,ISOPROPYL ALCOHOL,15.3 %
68093,SOTALOL HYDROCHLORIDE,240 MG
68279,MILK THISTLE,7.5 G
68300,DIDECYL DIMETHYL AMMONIUM CHLORIDE,9.0 %
68654,BENZALKONIUM CHLORIDE,20.0 %
68655,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,6.0 %
68656,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,15.0 %
68657,PILOCARPINE HYDROCHLORIDE,1.75 %
68658,BETAXOLOL (BETAXOLOL HYDROCHLORIDE),0.25 %
68659,HYDROGEN PEROXIDE,1 %
68660,PERACETIC ACID,0.08 %
68682,SALICYLIC ACID,2 %
68756,ALPROSTADIL,125 MCG
68757,TETANUS PROTEIN,30 MCG
68856,POLYRIBOSE RIBITOL PHOSPHATE POLYSACCHARIDE (PRP),10 MCG
69020,TETANUS TOXOID,5 LF
69063,DIPHTHERIA TOXOID,15 LF
69087,PERTACTIN,3 MCG
69106,FIMBRIAE,5 MCG
69421,PERTUSSIS TOXOID,10 MCG
69442,FILAMENTOUS HAEMAGGLUTININ,5 MCG
69443,TETANUS PROTEIN,20 MCG
69678,POLYRIBOSE RIBITOL PHOSPHATE POLYSACCHARIDE (PRP),10 MCG
69679,TETANUS TOXOID,5 LF
69700,DIPHTHERIA TOXOID,15 LF
69709,PERTACTIN,3 MCG
69715,FIMBRIAE,5 MCG
69770,PERTUSSIS TOXOID,20 MCG
69785,FILAMENTOUS HAEMAGGLUTININ,20 MCG
69891,DIDECYL DIMETHYL AMMONIUM CHLORIDE,1.875 %
69975,BENZALKONIUM CHLORIDE,1.248 %
70066,CAFFEINE,200 MG
70071,NONYL PHENOXYPOLYETHOXYETHANOL-IODINE COMPLEX,18.05 %
70099,POTASSIUM CHLORIDE,10.05 G
70160,SODIUM CHLORIDE,263 G
70173,ACETIC ACID,10.8 G
70241,MAGNESIUM CHLORIDE,6.86 G
70283,CALCIUM CHLORIDE,9.92 G
70387,GABAPENTIN,100 MG
70402,GABAPENTIN,300 MG
70424,GABAPENTIN,400 MG
70439,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),100 MG
70440,FENOFIBRATE,100 MG
70446,FENOFIBRATE,160 MG
70461,FENOFIBRATE,100 MG
70519,FENOFIBRATE,160 MG
70522,LORATADINE,10 MG
70525,DIPHENHYDRAMINE HYDROCHLORIDE,12.5 MG
70530,METHOCARBAMOL,400 MG
70566,ACETYLSALICYLIC ACID,325 MG
70574,RimabotulinumtoxinB,5000 UNIT
70625,ACETYLSALICYLIC ACID,80 MG
70626,ACETAMINOPHEN,160.0 MG
70678,ACETAMINOPHEN,80.0 MG
70749,BENZOCAINE,18 %
70932,TETRACAINE HYDROCHLORIDE,2 %
70933,ACETYLSALICYLIC ACID,325 MG
71084,GUAIFENESIN,100 MG
71092,PHENYLEPHRINE HYDROCHLORIDE,5 MG
71132,ACETAMINOPHEN,80 MG
71189,ACETAMINOPHEN,160 MG
71414,ACETAMINOPHEN,160 MG
71434,ACETAMINOPHEN,500 MG
71442,CAFFEINE,65 MG
71443,MORPHINE SULFATE,20 MG
71444,MORPHINE SULFATE,40 MG
71445,MORPHINE SULFATE,60 MG
71447,MORPHINE SULFATE,120 MG
71448,MORPHINE SULFATE,200 MG
71449,DEXTROSE,99.0 G
71516,POTASSIUM CHLORIDE,3.35 G
71517,SODIUM CHLORIDE,268.0 G
71518,ACETIC ACID,10.81 G
71519,MAGNESIUM CHLORIDE,3.21 G
71520,CALCIUM CHLORIDE,6.24 G
71521,DEXTROSE,99.0 G
71556,POTASSIUM CHLORIDE,6.71 G
71599,SODIUM CHLORIDE,268.0 G
71620,ACETIC ACID,10.81 G
71633,MAGNESIUM CHLORIDE,3.21 G
71646,CALCIUM CHLORIDE,6.24 G
71651,CODEINE PHOSPHATE,8 MG
71652,ACETAMINOPHEN,300 MG
71710,CAFFEINE,15 MG
71711,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
71712,ACETAMINOPHEN,325 MG
71762,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
71763,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
71872,ACETAMINOPHEN,325 MG
71873,DOXYLAMINE SUCCINATE,6.25 MG
71922,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
71924,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
71928,CHLORPHENIRAMINE MALEATE,2 MG
71929,ACETAMINOPHEN,325 MG
71957,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
71960,BACITRACIN,50000 UNIT
71961,ACETYLSALICYLIC ACID,325 MG
71962,ACETYLSALICYLIC ACID,500 MG
71982,DIDECYL DIMETHYL AMMONIUM CHLORIDE,8.448 %
71984,BENZALKONIUM CHLORIDE,5.632 %
72007,AMCINONIDE,0.1 %
72010,GABAPENTIN,600 MG
72055,GABAPENTIN,800 MG
72092,DIPHENHYDRAMINE HYDROCHLORIDE,25 MG
72100,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
72215,CHLORPHENIRAMINE MALEATE,2 MG
72277,ACETAMINOPHEN,500 MG
72298,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
72372,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
72373,ACETAMINOPHEN,325 MG
72374,DOXYLAMINE SUCCINATE,6.25 MG
72375,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
72435,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
72446,ACETAMINOPHEN,325 MG
72530,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
72555,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
72590,ACETAMINOPHEN,500 MG
72612,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
